,year,p-amount,area,enter,exit,g-enter,g-exit,days
6,1956,91,kinki,1956-05-22,1956-07-12,1900-05-22,1900-07-12,51.0
7,1957,141,kinki,1957-06-17,1957-07-29,1900-06-17,1900-07-29,42.0
8,1958,80,kinki,1958-06-25,1958-07-12,1900-06-25,1900-07-12,17.0
9,1959,84,kinki,1959-06-05,1959-07-20,1900-06-05,1900-07-20,45.0
10,1960,88,kinki,1960-06-10,1960-07-11,1900-06-10,1900-07-11,31.0
11,1961,158,kinki,1961-06-09,1961-07-13,1900-06-09,1900-07-13,34.0
12,1962,153,kinki,1962-06-02,1962-07-20,1900-06-02,1900-07-20,48.0
13,1963,98,kinki,,1963-07-13,,1900-07-13,
14,1964,87,kinki,1964-06-13,1964-07-22,1900-06-13,1900-07-22,39.0
15,1965,133,kinki,1965-06-12,1965-07-25,1900-06-12,1900-07-25,43.0
16,1966,119,kinki,1966-05-29,1966-07-13,1900-05-29,1900-07-13,45.0
17,1967,118,kinki,1967-06-21,1967-07-13,1900-06-21,1900-07-13,22.0
18,1968,114,kinki,1968-06-13,1968-07-17,1900-06-13,1900-07-17,34.0
19,1969,147,kinki,1969-06-17,1969-07-15,1900-06-17,1900-07-15,28.0
20,1970,126,kinki,1970-06-10,1970-07-18,1900-06-10,1900-07-18,38.0
21,1971,110,kinki,1971-06-03,1971-07-28,1900-06-03,1900-07-28,55.0
22,1972,157,kinki,1972-06-03,1972-07-18,1900-06-03,1900-07-18,45.0
23,1973,45,kinki,1973-06-05,1973-07-04,1900-06-05,1900-07-04,29.0
24,1974,131,kinki,1974-06-11,1974-07-20,1900-06-11,1900-07-20,39.0
25,1975,96,kinki,1975-06-05,1975-07-15,1900-06-05,1900-07-15,40.0
26,1976,87,kinki,1976-06-05,1976-07-20,1900-06-05,1900-07-20,45.0
27,1977,74,kinki,1977-06-07,1977-07-20,1900-06-07,1900-07-20,43.0
28,1978,79,kinki,1978-06-11,1978-07-03,1900-06-11,1900-07-03,22.0
29,1979,93,kinki,1979-06-07,1979-07-22,1900-06-07,1900-07-22,45.0
30,1980,121,kinki,1980-05-29,1980-07-20,1900-05-29,1900-07-20,52.0
31,1981,72,kinki,1981-06-11,1981-07-16,1900-06-11,1900-07-16,35.0
32,1982,92,kinki,1982-06-13,1982-07-27,1900-06-13,1900-07-27,44.0
33,1983,104,kinki,1983-06-12,1983-07-25,1900-06-12,1900-07-25,43.0
34,1984,122,kinki,1984-06-08,1984-07-17,1900-06-08,1900-07-17,39.0
35,1985,126,kinki,1985-06-07,1985-07-15,1900-06-07,1900-07-15,38.0
36,1986,108,kinki,1986-06-16,1986-07-27,1900-06-16,1900-07-27,41.0
37,1987,90,kinki,1987-06-08,1987-07-24,1900-06-08,1900-07-24,46.0
38,1988,152,kinki,1988-06-08,1988-07-31,1900-06-08,1900-07-31,53.0
39,1989,90,kinki,1989-06-08,1989-07-19,1900-06-08,1900-07-19,41.0
40,1990,80,kinki,1990-05-31,1990-07-18,1900-05-31,1900-07-18,48.0
41,1991,111,kinki,1991-05-26,1991-07-21,1900-05-26,1900-07-21,56.0
42,1992,75,kinki,1992-06-07,1992-07-21,1900-06-07,1900-07-21,44.0
43,1993,155,kinki,1993-05-30,,1900-05-30,,
44,1994,41,kinki,1994-06-08,1994-07-10,1900-06-08,1900-07-10,32.0
45,1995,123,kinki,1995-06-03,1995-07-23,1900-06-03,1900-07-23,50.0
46,1996,92,kinki,1996-06-07,1996-07-11,1900-06-07,1900-07-11,34.0
47,1997,125,kinki,1997-06-02,1997-07-18,1900-06-02,1900-07-18,46.0
48,1998,108,kinki,1998-06-02,1998-07-31,1900-06-02,1900-07-31,59.0
49,1999,128,kinki,1999-06-03,1999-07-22,1900-06-03,1900-07-22,49.0
50,2000,61,kinki,2000-06-09,2000-07-18,1900-06-09,1900-07-18,39.0
51,2001,74,kinki,2001-06-05,2001-07-19,1900-06-05,1900-07-19,44.0
52,2002,71,kinki,2002-06-11,2002-07-20,1900-06-11,1900-07-20,39.0
53,2003,106,kinki,2003-06-10,2003-08-01,1900-06-10,1900-08-01,52.0
54,2004,61,kinki,2004-06-06,2004-07-13,1900-06-06,1900-07-13,37.0
55,2005,76,kinki,2005-06-11,2005-07-18,1900-06-11,1900-07-18,37.0
56,2006,142,kinki,2006-06-08,2006-07-27,1900-06-08,1900-07-27,49.0
57,2007,111,kinki,2007-06-14,2007-07-24,1900-06-14,1900-07-24,40.0
58,2008,71,kinki,2008-05-28,2008-07-12,1900-05-28,1900-07-12,45.0
59,2009,95,kinki,2009-06-03,2009-08-03,1900-06-03,1900-08-03,61.0
60,2010,137,kinki,2010-06-13,2010-07-17,1900-06-13,1900-07-17,34.0
61,2011,95,kinki,2011-05-22,2011-07-08,1900-05-22,1900-07-08,47.0
62,2012,126,kinki,2012-06-08,2012-07-16,1900-06-08,1900-07-16,38.0
63,2013,81,kinki,2013-05-27,2013-07-08,1900-05-27,1900-07-08,42.0
64,2014,49,kinki,2014-06-03,2014-07-20,1900-06-03,1900-07-20,47.0
65,2015,144,kinki,2015-06-03,2015-07-24,1900-06-03,1900-07-24,51.0
66,2016,103,kinki,2016-06-04,2016-07-18,1900-06-04,1900-07-18,44.0
67,2017,81,kinki,2017-06-20,2017-07-13,1900-06-20,1900-07-13,23.0
68,2018,162,kinki,2018-06-05,2018-07-09,1900-06-05,1900-07-09,34.0
1,1951,114,kyusyu-n,1951-06-14,1951-07-19,1900-06-14,1900-07-19,35.0
2,1952,91,kyusyu-n,1952-06-08,1952-07-15,1900-06-08,1900-07-15,37.0
3,1953,185,kyusyu-n,1953-05-28,1953-07-20,1900-05-28,1900-07-20,53.0
4,1954,173,kyusyu-n,1954-05-13,1954-08-01,1900-05-13,1900-08-01,80.0
5,1955,96,kyusyu-n,1955-06-03,1955-07-10,1900-06-03,1900-07-10,37.0
6,1956,88,kyusyu-n,1956-05-21,1956-07-22,1900-05-21,1900-07-22,62.0
7,1957,154,kyusyu-n,1957-06-05,1957-07-29,1900-06-05,1900-07-29,54.0
8,1958,32,kyusyu-n,1958-06-06,1958-07-11,1900-06-06,1900-07-11,35.0
9,1959,92,kyusyu-n,1959-06-04,1959-07-21,1900-06-04,1900-07-21,47.0
10,1960,57,kyusyu-n,1960-05-24,1960-07-11,1900-05-24,1900-07-11,48.0
11,1961,50,kyusyu-n,1961-06-08,1961-07-10,1900-06-08,1900-07-10,32.0
12,1962,136,kyusyu-n,1962-06-08,1962-07-22,1900-06-08,1900-07-22,44.0
13,1963,99,kyusyu-n,1963-05-30,1963-07-13,1900-05-30,1900-07-13,44.0
14,1964,66,kyusyu-n,1964-06-10,1964-07-20,1900-06-10,1900-07-20,40.0
15,1965,116,kyusyu-n,1965-06-11,1965-07-24,1900-06-11,1900-07-24,43.0
16,1966,65,kyusyu-n,1966-06-14,1966-07-14,1900-06-14,1900-07-14,30.0
17,1967,69,kyusyu-n,1967-06-22,1967-07-16,1900-06-22,1900-07-16,24.0
18,1968,92,kyusyu-n,1968-06-12,1968-07-17,1900-06-12,1900-07-17,35.0
19,1969,117,kyusyu-n,1969-06-17,1969-07-15,1900-06-17,1900-07-15,28.0
20,1970,89,kyusyu-n,1970-06-10,1970-07-21,1900-06-10,1900-07-21,41.0
21,1971,99,kyusyu-n,1971-06-02,1971-07-27,1900-06-02,1900-07-27,55.0
22,1972,160,kyusyu-n,1972-06-03,1972-07-15,1900-06-03,1900-07-15,42.0
23,1973,65,kyusyu-n,1973-06-05,1973-07-06,1900-06-05,1900-07-06,31.0
24,1974,87,kyusyu-n,1974-06-10,1974-07-19,1900-06-10,1900-07-19,39.0
25,1975,91,kyusyu-n,1975-06-04,1975-07-18,1900-06-04,1900-07-18,44.0
26,1976,79,kyusyu-n,1976-06-04,1976-07-22,1900-06-04,1900-07-22,48.0
27,1977,75,kyusyu-n,1977-06-07,1977-07-20,1900-06-07,1900-07-20,43.0
28,1978,65,kyusyu-n,1978-06-10,1978-07-03,1900-06-10,1900-07-03,23.0
29,1979,123,kyusyu-n,1979-06-06,1979-07-25,1900-06-06,1900-07-25,49.0
30,1980,142,kyusyu-n,1980-06-08,1980-07-19,1900-06-08,1900-07-19,41.0
31,1981,91,kyusyu-n,1981-06-10,1981-07-14,1900-06-10,1900-07-14,34.0
32,1982,121,kyusyu-n,1982-06-13,1982-07-27,1900-06-13,1900-07-27,44.0
33,1983,92,kyusyu-n,1983-06-12,1983-07-23,1900-06-12,1900-07-23,41.0
34,1984,73,kyusyu-n,1984-06-07,1984-07-14,1900-06-07,1900-07-14,37.0
35,1985,144,kyusyu-n,1985-06-07,1985-07-15,1900-06-07,1900-07-15,38.0
36,1986,119,kyusyu-n,1986-06-13,1986-07-26,1900-06-13,1900-07-26,43.0
37,1987,125,kyusyu-n,1987-06-08,1987-07-26,1900-06-08,1900-07-26,48.0
38,1988,92,kyusyu-n,1988-06-07,1988-07-06,1900-06-07,1900-07-06,29.0
39,1989,73,kyusyu-n,1989-06-05,1989-07-19,1900-06-05,1900-07-19,44.0
40,1990,94,kyusyu-n,1990-05-30,1990-07-18,1900-05-30,1900-07-18,49.0
41,1991,135,kyusyu-n,1991-05-19,1991-07-19,1900-05-19,1900-07-19,61.0
42,1992,56,kyusyu-n,1992-06-05,1992-07-20,1900-06-05,1900-07-20,45.0
43,1993,158,kyusyu-n,1993-05-29,,1900-05-29,,
44,1994,44,kyusyu-n,1994-06-07,1994-07-01,1900-06-07,1900-07-01,24.0
45,1995,108,kyusyu-n,1995-06-08,1995-07-08,1900-06-08,1900-07-08,30.0
