,year,p-amount,area,enter,exit,g-enter,g-exit,days
16,1966,135,tohoku-s,1966-06-04,1966-07-25,1900-06-04,1900-07-25,51.0
17,1967,92,tohoku-s,1967-06-26,1967-07-15,1900-06-26,1900-07-15,19.0
18,1968,80,tohoku-s,1968-06-16,1968-07-19,1900-06-16,1900-07-19,33.0
19,1969,90,tohoku-s,1969-06-17,1969-07-14,1900-06-17,1900-07-14,27.0
20,1970,45,tohoku-s,1970-06-15,1970-07-20,1900-06-15,1900-07-20,35.0
21,1971,117,tohoku-s,1971-06-03,1971-07-29,1900-06-03,1900-07-29,56.0
22,1972,75,tohoku-s,1972-06-12,1972-07-30,1900-06-12,1900-07-30,48.0
23,1973,44,tohoku-s,1973-06-06,1973-07-13,1900-06-06,1900-07-13,37.0
24,1974,123,tohoku-s,1974-06-04,1974-07-26,1900-06-04,1900-07-26,52.0
25,1975,70,tohoku-s,1975-06-05,1975-07-16,1900-06-05,1900-07-16,41.0
26,1976,79,tohoku-s,1976-06-05,1976-07-22,1900-06-05,1900-07-22,47.0
27,1977,66,tohoku-s,1977-06-11,1977-07-22,1900-06-11,1900-07-22,41.0
28,1978,83,tohoku-s,1978-06-11,1978-07-05,1900-06-11,1900-07-05,24.0
29,1979,104,tohoku-s,1979-06-08,1979-07-30,1900-06-08,1900-07-30,52.0
30,1980,137,tohoku-s,1980-06-08,1980-07-22,1900-06-08,1900-07-22,44.0
31,1981,102,tohoku-s,1981-06-11,1981-07-16,1900-06-11,1900-07-16,35.0
32,1982,84,tohoku-s,1982-06-23,1982-08-07,1900-06-23,1900-08-07,45.0
33,1983,118,tohoku-s,1983-06-13,1983-07-27,1900-06-13,1900-07-27,44.0
34,1984,68,tohoku-s,1984-06-10,1984-07-22,1900-06-10,1900-07-22,42.0
35,1985,99,tohoku-s,1985-06-08,1985-07-16,1900-06-08,1900-07-16,38.0
36,1986,89,tohoku-s,1986-06-17,1986-07-28,1900-06-17,1900-07-28,41.0
37,1987,72,tohoku-s,1987-06-25,1987-08-09,1900-06-25,1900-08-09,45.0
38,1988,100,tohoku-s,1988-06-09,1988-07-31,1900-06-09,1900-07-31,52.0
39,1989,55,tohoku-s,1989-06-15,1989-07-21,1900-06-15,1900-07-21,36.0
40,1990,89,tohoku-s,1990-06-15,1990-07-20,1900-06-15,1900-07-20,35.0
41,1991,141,tohoku-s,1991-06-10,1991-07-27,1900-06-10,1900-07-27,47.0
42,1992,92,tohoku-s,1992-06-08,1992-07-24,1900-06-08,1900-07-24,46.0
43,1993,123,tohoku-s,1993-06-03,,1900-06-03,,
44,1994,50,tohoku-s,1994-06-19,1994-07-12,1900-06-19,1900-07-12,23.0
45,1995,106,tohoku-s,1995-06-03,1995-07-23,1900-06-03,1900-07-23,50.0
46,1996,87,tohoku-s,1996-06-10,1996-07-24,1900-06-10,1900-07-24,44.0
47,1997,113,tohoku-s,1997-06-02,1997-07-18,1900-06-02,1900-07-18,46.0
48,1998,96,tohoku-s,1998-06-03,,1900-06-03,,
49,1999,132,tohoku-s,1999-06-16,1999-07-24,1900-06-16,1900-07-24,38.0
50,2000,105,tohoku-s,2000-06-09,2000-07-19,1900-06-09,1900-07-19,40.0
51,2001,98,tohoku-s,2001-06-06,2001-07-07,1900-06-06,1900-07-07,31.0
52,2002,130,tohoku-s,2002-06-11,2002-07-23,1900-06-11,1900-07-23,42.0
53,2003,111,tohoku-s,2003-06-12,,1900-06-12,,
54,2004,114,tohoku-s,2004-06-07,2004-07-22,1900-06-07,1900-07-22,45.0
55,2005,87,tohoku-s,2005-06-15,2005-08-04,1900-06-15,1900-08-04,50.0
56,2006,145,tohoku-s,2006-06-09,2006-08-02,1900-06-09,1900-08-02,54.0
57,2007,126,tohoku-s,2007-06-21,2007-08-01,1900-06-21,1900-08-01,41.0
58,2008,68,tohoku-s,2008-06-22,2008-08-06,1900-06-22,1900-08-06,45.0
59,2009,91,tohoku-s,2009-06-04,,1900-06-04,,
60,2010,108,tohoku-s,2010-06-14,2010-07-18,1900-06-14,1900-07-18,34.0
61,2011,110,tohoku-s,2011-06-21,2011-07-09,1900-06-21,1900-07-09,18.0
62,2012,86,tohoku-s,2012-06-09,2012-07-26,1900-06-09,1900-07-26,47.0
63,2013,139,tohoku-s,2013-06-15,2013-08-07,1900-06-15,1900-08-07,53.0
64,2014,99,tohoku-s,2014-06-05,2014-07-25,1900-06-05,1900-07-25,50.0
65,2015,66,tohoku-s,2015-06-26,2015-07-26,1900-06-26,1900-07-26,30.0
66,2016,70,tohoku-s,2016-06-13,2016-07-29,1900-06-13,1900-07-29,46.0
67,2017,110,tohoku-s,2017-06-30,,1900-06-30,,
68,2018,43,tohoku-s,2018-06-10,2018-07-14,1900-06-10,1900-07-14,34.0
1,1951,115,tokai,1951-06-28,1951-07-18,1900-06-28,1900-07-18,20.0
2,1952,157,tokai,1952-05-27,1952-07-16,1900-05-27,1900-07-16,50.0
3,1953,155,tokai,1953-05-28,1953-07-24,1900-05-28,1900-07-24,57.0
4,1954,149,tokai,1954-06-06,1954-08-02,1900-06-06,1900-08-02,57.0
5,1955,67,tokai,1955-06-02,1955-07-09,1900-06-02,1900-07-09,37.0
6,1956,85,tokai,1956-05-22,1956-07-13,1900-05-22,1900-07-13,52.0
7,1957,112,tokai,1957-06-21,1957-07-29,1900-06-21,1900-07-29,38.0
8,1958,83,tokai,1958-06-25,1958-07-15,1900-06-25,1900-07-15,20.0
9,1959,74,tokai,1959-06-19,1959-07-20,1900-06-19,1900-07-20,31.0
10,1960,75,tokai,1960-06-21,1960-07-11,1900-06-21,1900-07-11,20.0
11,1961,145,tokai,1961-06-21,1961-07-14,1900-06-21,1900-07-14,23.0
12,1962,165,tokai,1962-06-03,1962-07-12,1900-06-03,1900-07-12,39.0
13,1963,104,tokai,1963-05-04,1963-06-22,1900-05-04,1900-06-22,49.0
14,1964,85,tokai,1964-06-20,1964-07-22,1900-06-20,1900-07-22,32.0
15,1965,108,tokai,1965-06-12,1965-07-24,1900-06-12,1900-07-24,42.0
16,1966,117,tokai,1966-06-15,1966-07-13,1900-06-15,1900-07-13,28.0
17,1967,100,tokai,1967-06-22,1967-07-15,1900-06-22,1900-07-15,23.0
18,1968,121,tokai,1968-06-13,1968-07-18,1900-06-13,1900-07-18,35.0
19,1969,133,tokai,1969-06-17,1969-07-14,1900-06-17,1900-07-14,27.0
20,1970,137,tokai,1970-06-10,1970-07-18,1900-06-10,1900-07-18,38.0
21,1971,98,tokai,1971-06-03,1971-07-29,1900-06-03,1900-07-29,56.0
22,1972,152,tokai,1972-06-12,1972-07-18,1900-06-12,1900-07-18,36.0
23,1973,55,tokai,1973-06-06,1973-07-05,1900-06-06,1900-07-05,29.0
24,1974,170,tokai,1974-06-11,1974-07-20,1900-06-11,1900-07-20,39.0
25,1975,94,tokai,1975-06-05,1975-07-15,1900-06-05,1900-07-15,40.0
26,1976,106,tokai,1976-06-05,1976-07-21,1900-06-05,1900-07-21,46.0
27,1977,81,tokai,1977-06-07,1977-07-20,1900-06-07,1900-07-20,43.0
28,1978,86,tokai,1978-06-11,1978-07-04,1900-06-11,1900-07-04,23.0
29,1979,81,tokai,1979-06-07,1979-07-23,1900-06-07,1900-07-23,46.0
30,1980,113,tokai,1980-06-08,1980-07-21,1900-06-08,1900-07-21,43.0
31,1981,70,tokai,1981-06-11,1981-07-15,1900-06-11,1900-07-15,34.0
32,1982,116,tokai,1982-06-17,1982-07-30,1900-06-17,1900-07-30,43.0
33,1983,108,tokai,1983-06-12,1983-07-26,1900-06-12,1900-07-26,44.0
34,1984,111,tokai,1984-06-08,1984-07-19,1900-06-08,1900-07-19,41.0
35,1985,127,tokai,1985-06-08,1985-07-14,1900-06-08,1900-07-14,36.0
36,1986,100,tokai,1986-06-16,1986-07-27,1900-06-16,1900-07-27,41.0
37,1987,75,tokai,1987-06-09,1987-07-24,1900-06-09,1900-07-24,45.0
38,1988,127,tokai,1988-06-08,1988-07-30,1900-06-08,1900-07-30,52.0
39,1989,134,tokai,1989-06-09,1989-07-19,1900-06-09,1900-07-19,40.0
40,1990,80,tokai,1990-06-01,1990-07-18,1900-06-01,1900-07-18,47.0
41,1991,110,tokai,1991-05-31,1991-07-21,1900-05-31,1900-07-21,51.0
42,1992,74,tokai,1992-06-07,1992-07-19,1900-06-07,1900-07-19,42.0
43,1993,158,tokai,1993-05-30,,1900-05-30,,
44,1994,51,tokai,1994-06-07,1994-07-11,1900-06-07,1900-07-11,34.0
45,1995,104,tokai,1995-06-03,1995-07-23,1900-06-03,1900-07-23,50.0
46,1996,89,tokai,1996-06-08,1996-07-11,1900-06-08,1900-07-11,33.0
47,1997,122,tokai,1997-06-02,1997-07-19,1900-06-02,1900-07-19,47.0
48,1998,121,tokai,1998-06-02,1998-07-31,1900-06-02,1900-07-31,59.0
49,1999,113,tokai,1999-06-15,1999-07-22,1900-06-15,1900-07-22,37.0
50,2000,86,tokai,2000-06-09,2000-07-16,1900-06-09,1900-07-16,37.0
51,2001,52,tokai,2001-06-05,2001-07-02,1900-06-05,1900-07-02,27.0
52,2002,88,tokai,2002-06-11,2002-07-20,1900-06-11,1900-07-20,39.0
53,2003,105,tokai,2003-06-10,2003-07-31,1900-06-10,1900-07-31,51.0
54,2004,78,tokai,2004-06-06,2004-07-13,1900-06-06,1900-07-13,37.0
55,2005,83,tokai,2005-06-11,2005-07-18,1900-06-11,1900-07-18,37.0
56,2006,105,tokai,2006-06-08,2006-07-26,1900-06-08,1900-07-26,48.0
57,2007,130,tokai,2007-06-14,2007-07-27,1900-06-14,1900-07-27,43.0
58,2008,77,tokai,2008-05-28,2008-07-12,1900-05-28,1900-07-12,45.0
59,2009,108,tokai,2009-06-03,2009-08-03,1900-06-03,1900-08-03,61.0
60,2010,100,tokai,2010-06-13,2010-07-17,1900-06-13,1900-07-17,34.0
61,2011,103,tokai,2011-05-22,2011-07-08,1900-05-22,1900-07-08,47.0
62,2012,102,tokai,2012-06-08,2012-07-23,1900-06-08,1900-07-23,45.0
63,2013,68,tokai,2013-05-28,2013-07-07,1900-05-28,1900-07-07,40.0
64,2014,60,tokai,2014-06-04,2014-07-21,1900-06-04,1900-07-21,47.0
65,2015,135,tokai,2015-06-03,2015-07-24,1900-06-03,1900-07-24,51.0
66,2016,89,tokai,2016-06-04,2016-07-28,1900-06-04,1900-07-28,54.0
67,2017,67,tokai,2017-06-21,2017-07-15,1900-06-21,1900-07-15,24.0
68,2018,110,tokai,2018-06-05,2018-07-09,1900-06-05,1900-07-09,34.0
