,line,2017_passenger,variable,value,bus_line
284,西３,1197,2013,170.0,西3号系統
285,西４,1295,2013,144.0,西4号系統
286,西５,1485,2013,186.0,西5号系統
287,西６,1206,2013,148.0,西6号系統
288,西８,1686,2013,160.0,西8号系統
289,南１,1020,2013,245.0,南1号系統
290,南２,1741,2013,135.0,南2号系統
291,南３,666,2013,162.0,南3号系統
292,南５,2078,2013,99.0,南5号系統
293,南８,548,2013,192.0,南8号系統
294,Ｍ１,1233,2013,98.0,M1号系統
295,循環１,785,2013,99.0,100円循環
296,１,4061,2014,112.0,1号系統
297,３,13110,2014,80.0,3号系統
298,４,7257,2014,84.0,4号系統
299,５,13000,2014,79.0,5号系統
300,６,2723,2014,101.0,6号系統
301,８,1225,2014,155.0,8号系統
302,９,11602,2014,75.0,9号系統
303,１０,3683,2014,109.0,10号系統
304,１１,4784,2014,98.0,11号系統
305,１２,7242,2014,79.0,12号系統
306,１３,4415,2014,151.0,13号系統
307,１５,2687,2014,104.0,15号系統
308,１６,1142,2014,203.0,16号系統
309,１７,6612,2014,64.0,17号系統
310,１８,3009,2014,191.0,18号系統
311,１９,803,2014,190.0,19号系統
312,２０,1314,2014,185.0,20号系統
313,２２,1358,2014,195.0,22号系統
314,２６,5177,2014,94.0,26号系統
315,２７,2667,2014,146.0,27号系統
316,２８,5422,2014,98.0,28号系統
317,２９,2707,2014,114.0,29号系統
318,３１,1323,2014,125.0,31号系統
319,３２,4210,2014,109.0,32号系統
320,３３,2439,2014,128.0,33号系統
321,３７,5690,2014,99.0,37号系統
322,４２,716,2014,194.0,42号系統
323,４３,859,2014,164.0,43号系統
324,４６,10257,2014,82.0,46号系統
325,５０,6031,2014,87.0,50号系統
326,５１,1246,2014,112.0,51号系統
327,５５,1857,2014,110.0,55号系統
328,５９,6879,2014,86.0,59号系統
329,６５,997,2014,160.0,65号系統
330,６７,311,2014,126.0,67号系統
331,６９,2095,2014,161.0,69号系統
332,７０,1934,2014,98.0,70号系統
333,７１,2881,2014,126.0,71号系統
334,７３,3728,2014,99.0,73号系統
335,７５,1449,2014,137.0,75号系統
336,７８,918,2014,180.0,78号系統
337,８０,2723,2014,105.0,80号系統
338,８１,3803,2014,124.0,81号系統
339,８４,940,2014,216.0,84号系統
340,９１,3933,2014,117.0,91号系統
341,９３,5645,2014,96.0,93号系統
342,１００,8099,2014,52.0,100号系統
343,１０１,4799,2014,70.0,101号系統
344,１０２,1945,2014,80.0,102号系統
345,２０１,13054,2014,75.0,201号系統
346,２０２,13773,2014,81.0,202号系統
347,２０３,18034,2014,71.0,203号系統
348,２０４,11539,2014,80.0,204号系統
349,２０５,34727,2014,78.0,205号系統
350,２０６,28496,2014,60.0,206号系統
351,２０７,14276,2014,61.0,207号系統
352,２０８,3779,2014,103.0,208号系統
353,北１,1979,2014,78.0,北1号系統
354,北３,2235,2014,119.0,北3号系統
355,北８,2771,2014,123.0,北8号系統
356,西１,726,2014,183.0,西1号系統
357,西２,3864,2014,130.0,西2号系統
358,西３,1197,2014,178.0,西3号系統
359,西４,1295,2014,126.0,西4号系統
360,西５,1485,2014,194.0,西5号系統
361,西６,1206,2014,156.0,西6号系統
362,西８,1686,2014,157.0,西8号系統
363,南１,1020,2014,244.0,南1号系統
364,南２,1741,2014,136.0,南2号系統
365,南３,666,2014,164.0,南3号系統
366,南５,2078,2014,95.0,南5号系統
367,南８,548,2014,196.0,南8号系統
368,Ｍ１,1233,2014,98.0,M1号系統
369,循環１,785,2014,101.0,100円循環
370,１,4061,2015,113.0,1号系統
371,３,13110,2015,83.0,3号系統
372,４,7257,2015,84.0,4号系統
373,５,13000,2015,83.0,5号系統
374,６,2723,2015,103.0,6号系統
375,８,1225,2015,161.0,8号系統
376,９,11602,2015,76.0,9号系統
377,１０,3683,2015,110.0,10号系統
378,１１,4784,2015,99.0,11号系統
379,１２,7242,2015,81.0,12号系統
380,１３,4415,2015,150.0,13号系統
381,１５,2687,2015,104.0,15号系統
382,１６,1142,2015,198.0,16号系統
383,１７,6612,2015,62.0,17号系統
384,１８,3009,2015,186.0,18号系統
385,１９,803,2015,190.0,19号系統
386,２０,1314,2015,179.0,20号系統
387,２２,1358,2015,189.0,22号系統
388,２６,5177,2015,95.0,26号系統
389,２７,2667,2015,143.0,27号系統
390,２８,5422,2015,98.0,28号系統
391,２９,2707,2015,114.0,29号系統
392,３１,1323,2015,128.0,31号系統
393,３２,4210,2015,123.0,32号系統
394,３３,2439,2015,127.0,33号系統
395,３７,5690,2015,99.0,37号系統
396,４２,716,2015,188.0,42号系統
397,４３,859,2015,163.0,43号系統
398,４６,10257,2015,85.0,46号系統
399,５０,6031,2015,88.0,50号系統
400,５１,1246,2015,121.0,51号系統
401,５５,1857,2015,111.0,55号系統
402,５９,6879,2015,85.0,59号系統
403,６５,997,2015,164.0,65号系統
404,６７,311,2015,126.0,67号系統
405,６９,2095,2015,163.0,69号系統
406,７０,1934,2015,95.0,70号系統
407,７１,2881,2015,126.0,71号系統
408,７３,3728,2015,99.0,73号系統
409,７５,1449,2015,136.0,75号系統
410,７８,918,2015,186.0,78号系統
411,８０,2723,2015,103.0,80号系統
412,８１,3803,2015,125.0,81号系統
