,year,p-amount,area,enter,exit,variable,date
721,1992,74,tokai,1992-06-07,1992-07-19,g-enter,1900-06-07
722,1993,158,tokai,1993-05-30,,g-enter,1900-05-30
723,1994,51,tokai,1994-06-07,1994-07-11,g-enter,1900-06-07
724,1995,104,tokai,1995-06-03,1995-07-23,g-enter,1900-06-03
725,1996,89,tokai,1996-06-08,1996-07-11,g-enter,1900-06-08
726,1997,122,tokai,1997-06-02,1997-07-19,g-enter,1900-06-02
727,1998,121,tokai,1998-06-02,1998-07-31,g-enter,1900-06-02
728,1999,113,tokai,1999-06-15,1999-07-22,g-enter,1900-06-15
729,2000,86,tokai,2000-06-09,2000-07-16,g-enter,1900-06-09
730,2001,52,tokai,2001-06-05,2001-07-02,g-enter,1900-06-05
731,2002,88,tokai,2002-06-11,2002-07-20,g-enter,1900-06-11
732,2003,105,tokai,2003-06-10,2003-07-31,g-enter,1900-06-10
733,2004,78,tokai,2004-06-06,2004-07-13,g-enter,1900-06-06
734,2005,83,tokai,2005-06-11,2005-07-18,g-enter,1900-06-11
735,2006,105,tokai,2006-06-08,2006-07-26,g-enter,1900-06-08
736,2007,130,tokai,2007-06-14,2007-07-27,g-enter,1900-06-14
737,2008,77,tokai,2008-05-28,2008-07-12,g-enter,1900-05-28
738,2009,108,tokai,2009-06-03,2009-08-03,g-enter,1900-06-03
739,2010,100,tokai,2010-06-13,2010-07-17,g-enter,1900-06-13
740,2011,103,tokai,2011-05-22,2011-07-08,g-enter,1900-05-22
741,2012,102,tokai,2012-06-08,2012-07-23,g-enter,1900-06-08
742,2013,68,tokai,2013-05-28,2013-07-07,g-enter,1900-05-28
743,2014,60,tokai,2014-06-04,2014-07-21,g-enter,1900-06-04
744,2015,135,tokai,2015-06-03,2015-07-24,g-enter,1900-06-03
745,2016,89,tokai,2016-06-04,2016-07-28,g-enter,1900-06-04
746,2017,67,tokai,2017-06-21,2017-07-15,g-enter,1900-06-21
747,2018,110,tokai,2018-06-05,2018-07-09,g-enter,1900-06-05
748,1951,92,chugoku,1951-06-14,1951-07-21,g-exit,1900-07-21
749,1952,128,chugoku,1952-05-31,1952-07-21,g-exit,1900-07-21
750,1953,189,chugoku,1953-05-28,1953-07-24,g-exit,1900-07-24
751,1954,151,chugoku,1954-05-30,1954-08-02,g-exit,1900-08-02
752,1955,87,chugoku,1955-06-06,1955-07-10,g-exit,1900-07-10
753,1956,96,chugoku,1956-05-29,1956-07-12,g-exit,1900-07-12
754,1957,143,chugoku,1957-06-16,1957-07-31,g-exit,1900-07-31
755,1958,88,chugoku,1958-06-05,1958-07-11,g-exit,1900-07-11
756,1959,78,chugoku,1959-06-10,1959-07-20,g-exit,1900-07-20
757,1960,76,chugoku,1960-06-10,1960-07-11,g-exit,1900-07-11
758,1961,79,chugoku,1961-06-08,1961-07-13,g-exit,1900-07-13
759,1962,104,chugoku,1962-06-02,1962-07-22,g-exit,1900-07-22
760,1963,119,chugoku,1963-05-08,1963-07-13,g-exit,1900-07-13
761,1964,124,chugoku,1964-06-13,1964-07-20,g-exit,1900-07-20
762,1965,160,chugoku,1965-06-11,1965-07-26,g-exit,1900-07-26
763,1966,88,chugoku,1966-06-15,1966-07-14,g-exit,1900-07-14
764,1967,114,chugoku,1967-06-21,1967-07-16,g-exit,1900-07-16
765,1968,81,chugoku,1968-06-24,1968-07-18,g-exit,1900-07-18
766,1969,134,chugoku,1969-06-16,1969-07-14,g-exit,1900-07-14
767,1970,126,chugoku,1970-06-10,1970-07-19,g-exit,1900-07-19
768,1971,130,chugoku,1971-06-03,1971-07-27,g-exit,1900-07-27
769,1972,169,chugoku,1972-06-03,1972-07-17,g-exit,1900-07-17
770,1973,43,chugoku,1973-06-05,1973-07-04,g-exit,1900-07-04
771,1974,98,chugoku,1974-06-10,1974-07-20,g-exit,1900-07-20
772,1975,82,chugoku,1975-06-05,1975-07-15,g-exit,1900-07-15
773,1976,57,chugoku,1976-06-05,1976-07-17,g-exit,1900-07-17
774,1977,66,chugoku,1977-06-07,1977-07-20,g-exit,1900-07-20
775,1978,60,chugoku,1978-06-11,1978-07-03,g-exit,1900-07-03
776,1979,84,chugoku,1979-06-06,1979-07-25,g-exit,1900-07-25
777,1980,124,chugoku,1980-06-07,1980-07-20,g-exit,1900-07-20
778,1981,130,chugoku,1981-06-11,1981-07-16,g-exit,1900-07-16
779,1982,71,chugoku,1982-06-13,1982-07-30,g-exit,1900-07-30
780,1983,112,chugoku,1983-06-12,1983-07-25,g-exit,1900-07-25
781,1984,78,chugoku,1984-06-07,1984-07-14,g-exit,1900-07-14
782,1985,148,chugoku,1985-06-07,1985-07-15,g-exit,1900-07-15
783,1986,118,chugoku,1986-06-15,1986-07-26,g-exit,1900-07-26
784,1987,102,chugoku,1987-06-08,1987-07-26,g-exit,1900-07-26
785,1988,139,chugoku,1988-06-08,1988-07-31,g-exit,1900-07-31
786,1989,74,chugoku,1989-06-08,1989-07-18,g-exit,1900-07-18
787,1990,81,chugoku,1990-05-31,1990-07-18,g-exit,1900-07-18
788,1991,138,chugoku,1991-05-25,1991-07-21,g-exit,1900-07-21
789,1992,56,chugoku,1992-06-07,1992-07-21,g-exit,1900-07-21
790,1993,175,chugoku,1993-05-30,,g-exit,
791,1994,37,chugoku,1994-06-08,1994-07-09,g-exit,1900-07-09
792,1995,112,chugoku,1995-06-08,1995-07-25,g-exit,1900-07-25
793,1996,99,chugoku,1996-06-07,1996-07-15,g-exit,1900-07-15
794,1997,144,chugoku,1997-06-08,1997-07-18,g-exit,1900-07-18
795,1998,79,chugoku,1998-06-02,1998-08-03,g-exit,1900-08-03
796,1999,122,chugoku,1999-06-02,1999-07-22,g-exit,1900-07-22
797,2000,55,chugoku,2000-06-08,2000-07-18,g-exit,1900-07-18
798,2001,97,chugoku,2001-06-05,2001-07-19,g-exit,1900-07-19
799,2002,58,chugoku,2002-06-11,2002-07-21,g-exit,1900-07-21
800,2003,117,chugoku,2003-06-10,2003-07-31,g-exit,1900-07-31
801,2004,53,chugoku,2004-05-29,2004-07-13,g-exit,1900-07-13
802,2005,86,chugoku,2005-06-11,2005-07-18,g-exit,1900-07-18
803,2006,145,chugoku,2006-06-08,2006-07-26,g-exit,1900-07-26
804,2007,103,chugoku,2007-06-14,2007-07-23,g-exit,1900-07-23
805,2008,51,chugoku,2008-05-28,2008-07-06,g-exit,1900-07-06
806,2009,123,chugoku,2009-06-03,,g-exit,
807,2010,102,chugoku,2010-06-13,2010-07-17,g-exit,1900-07-17
808,2011,74,chugoku,2011-05-21,2011-07-08,g-exit,1900-07-08
809,2012,93,chugoku,2012-06-08,2012-07-17,g-exit,1900-07-17
810,2013,101,chugoku,2013-05-27,2013-07-08,g-exit,1900-07-08
811,2014,66,chugoku,2014-06-02,2014-07-20,g-exit,1900-07-20
812,2015,78,chugoku,2015-06-02,2015-07-24,g-exit,1900-07-24
813,2016,106,chugoku,2016-06-04,2016-07-18,g-exit,1900-07-18
814,2017,77,chugoku,2017-06-20,2017-07-13,g-exit,1900-07-13
815,2018,119,chugoku,2018-06-05,2018-07-09,g-exit,1900-07-09
816,1951,77,hokuriku,1951-06-15,1951-07-18,g-exit,1900-07-18
817,1952,140,hokuriku,1952-06-02,1952-07-20,g-exit,1900-07-20
818,1953,161,hokuriku,1953-05-28,1953-07-24,g-exit,1900-07-24
819,1954,97,hokuriku,1954-06-06,1954-07-18,g-exit,1900-07-18
820,1955,88,hokuriku,1955-06-15,1955-07-09,g-exit,1900-07-09
821,1956,115,hokuriku,1956-05-22,1956-07-26,g-exit,1900-07-26
822,1957,116,hokuriku,1957-06-05,1957-07-31,g-exit,1900-07-31
823,1958,121,hokuriku,1958-06-28,1958-07-09,g-exit,1900-07-09
824,1959,111,hokuriku,1959-06-10,1959-07-27,g-exit,1900-07-27
825,1960,81,hokuriku,1960-06-11,1960-07-18,g-exit,1900-07-18
826,1961,152,hokuriku,1961-06-09,1961-07-16,g-exit,1900-07-16
827,1962,92,hokuriku,1962-06-03,1962-07-22,g-exit,1900-07-22
828,1963,109,hokuriku,1963-05-29,1963-07-25,g-exit,1900-07-25
829,1964,175,hokuriku,1964-06-20,1964-07-22,g-exit,1900-07-22
830,1965,156,hokuriku,1965-06-19,1965-07-25,g-exit,1900-07-25
831,1966,125,hokuriku,1966-06-09,1966-07-20,g-exit,1900-07-20
832,1967,86,hokuriku,1967-06-25,1967-07-17,g-exit,1900-07-17
833,1968,56,hokuriku,1968-06-16,1968-07-20,g-exit,1900-07-20
834,1969,90,hokuriku,1969-06-12,1969-07-16,g-exit,1900-07-16
835,1970,87,hokuriku,1970-06-11,1970-07-20,g-exit,1900-07-20
836,1971,155,hokuriku,1971-06-04,1971-07-28,g-exit,1900-07-28
837,1972,109,hokuriku,1972-06-07,1972-07-19,g-exit,1900-07-19
838,1973,49,hokuriku,1973-06-06,1973-07-13,g-exit,1900-07-13
839,1974,106,hokuriku,1974-06-11,1974-07-21,g-exit,1900-07-21
840,1975,85,hokuriku,1975-06-05,1975-07-16,g-exit,1900-07-16
841,1976,91,hokuriku,1976-06-05,1976-07-21,g-exit,1900-07-21
842,1977,56,hokuriku,1977-06-10,1977-07-21,g-exit,1900-07-21
843,1978,87,hokuriku,1978-06-11,1978-07-08,g-exit,1900-07-08
844,1979,93,hokuriku,1979-06-07,1979-07-30,g-exit,1900-07-30
845,1980,122,hokuriku,1980-06-09,1980-07-21,g-exit,1900-07-21
846,1981,117,hokuriku,1981-06-11,1981-07-16,g-exit,1900-07-16
847,1982,62,hokuriku,1982-06-23,1982-07-31,g-exit,1900-07-31
848,1983,139,hokuriku,1983-06-12,1983-07-28,g-exit,1900-07-28
849,1984,99,hokuriku,1984-06-17,1984-07-22,g-exit,1900-07-22
850,1985,164,hokuriku,1985-06-08,1985-07-15,g-exit,1900-07-15
851,1986,102,hokuriku,1986-06-16,1986-07-27,g-exit,1900-07-27
852,1987,74,hokuriku,1987-06-28,1987-08-08,g-exit,1900-08-08
853,1988,118,hokuriku,1988-06-23,1988-07-31,g-exit,1900-07-31
854,1989,73,hokuriku,1989-06-15,1989-07-19,g-exit,1900-07-19
855,1990,81,hokuriku,1990-06-15,1990-07-20,g-exit,1900-07-20
856,1991,133,hokuriku,1991-06-10,1991-08-14,g-exit,1900-08-14
857,1992,63,hokuriku,1992-06-07,1992-07-19,g-exit,1900-07-19
858,1993,119,hokuriku,1993-06-02,,g-exit,
859,1994,36,hokuriku,1994-06-08,1994-07-13,g-exit,1900-07-13
860,1995,144,hokuriku,1995-06-02,1995-07-23,g-exit,1900-07-23
861,1996,83,hokuriku,1996-06-07,1996-07-16,g-exit,1900-07-16
862,1997,124,hokuriku,1997-06-02,1997-07-18,g-exit,1900-07-18
863,1998,71,hokuriku,1998-06-02,,g-exit,
864,1999,99,hokuriku,1999-06-15,1999-07-24,g-exit,1900-07-24
865,2000,66,hokuriku,2000-06-08,2000-07-19,g-exit,1900-07-19
866,2001,89,hokuriku,2001-06-05,2001-07-02,g-exit,1900-07-02
867,2002,125,hokuriku,2002-06-11,2002-07-23,g-exit,1900-07-23
868,2003,101,hokuriku,2003-06-12,2003-08-01,g-exit,1900-08-01
869,2004,86,hokuriku,2004-06-06,2004-07-22,g-exit,1900-07-22
870,2005,106,hokuriku,2005-06-27,2005-07-18,g-exit,1900-07-18
871,2006,150,hokuriku,2006-06-15,2006-07-30,g-exit,1900-07-30
872,2007,101,hokuriku,2007-06-21,2007-08-01,g-exit,1900-08-01
873,2008,67,hokuriku,2008-06-19,2008-08-06,g-exit,1900-08-06
874,2009,117,hokuriku,2009-06-03,,g-exit,
875,2010,92,hokuriku,2010-06-13,2010-07-17,g-exit,1900-07-17
876,2011,96,hokuriku,2011-06-18,2011-07-09,g-exit,1900-07-09
877,2012,84,hokuriku,2012-06-09,2012-07-26,g-exit,1900-07-26
878,2013,133,hokuriku,2013-06-18,2013-08-07,g-exit,1900-08-07
879,2014,88,hokuriku,2014-06-05,2014-07-21,g-exit,1900-07-21
880,2015,68,hokuriku,2015-06-19,2015-07-25,g-exit,1900-07-25
881,2016,91,hokuriku,2016-06-13,2016-07-19,g-exit,1900-07-19
882,2017,133,hokuriku,2017-06-25,2017-08-02,g-exit,1900-08-02
883,2018,70,hokuriku,2018-06-09,2018-07-09,g-exit,1900-07-09
884,1951,121,kanto,1951-06-15,1951-07-18,g-exit,1900-07-18
885,1952,151,kanto,1952-06-14,1952-07-16,g-exit,1900-07-16
886,1953,149,kanto,1953-06-01,1953-07-24,g-exit,1900-07-24
887,1954,135,kanto,1954-06-06,1954-07-25,g-exit,1900-07-25
888,1955,60,kanto,1955-06-13,1955-07-09,g-exit,1900-07-09
889,1956,81,kanto,1956-06-09,1956-07-26,g-exit,1900-07-26
890,1957,131,kanto,1957-06-06,1957-07-28,g-exit,1900-07-28
891,1958,99,kanto,1958-06-11,1958-07-13,g-exit,1900-07-13
892,1959,89,kanto,1959-06-10,1959-07-06,g-exit,1900-07-06
893,1960,53,kanto,1960-06-19,1960-07-18,g-exit,1900-07-18
894,1961,127,kanto,1961-06-09,1961-07-08,g-exit,1900-07-08
895,1962,116,kanto,1962-06-03,1962-07-12,g-exit,1900-07-12
896,1963,114,kanto,1963-05-06,1963-07-24,g-exit,1900-07-24
897,1964,81,kanto,1964-06-09,1964-07-22,g-exit,1900-07-22
898,1965,106,kanto,1965-06-12,1965-07-27,g-exit,1900-07-27
899,1966,145,kanto,1966-06-09,1966-07-19,g-exit,1900-07-19
900,1967,88,kanto,1967-06-22,1967-07-18,g-exit,1900-07-18
901,1968,107,kanto,1968-06-15,1968-07-19,g-exit,1900-07-19
902,1969,115,kanto,1969-06-17,1969-07-14,g-exit,1900-07-14
903,1970,113,kanto,1970-06-11,1970-07-20,g-exit,1900-07-20
904,1971,74,kanto,1971-06-03,1971-07-29,g-exit,1900-07-29
905,1972,118,kanto,1972-06-12,1972-07-19,g-exit,1900-07-19
906,1973,67,kanto,1973-06-06,1973-07-05,g-exit,1900-07-05
907,1974,139,kanto,1974-06-11,1974-07-25,g-exit,1900-07-25
908,1975,109,kanto,1975-06-05,1975-07-15,g-exit,1900-07-15
909,1976,110,kanto,1976-06-05,1976-07-22,g-exit,1900-07-22
910,1977,97,kanto,1977-06-07,1977-07-21,g-exit,1900-07-21
911,1978,77,kanto,1978-06-11,1978-07-04,g-exit,1900-07-04
912,1979,74,kanto,1979-06-07,1979-07-24,g-exit,1900-07-24
913,1980,96,kanto,1980-06-08,1980-07-21,g-exit,1900-07-21
914,1981,91,kanto,1981-06-11,1981-07-08,g-exit,1900-07-08
915,1982,102,kanto,1982-06-17,1982-08-04,g-exit,1900-08-04
916,1983,105,kanto,1983-06-12,1983-07-26,g-exit,1900-07-26
917,1984,98,kanto,1984-06-10,1984-07-22,g-exit,1900-07-22
918,1985,161,kanto,1985-06-08,1985-07-15,g-exit,1900-07-15
919,1986,70,kanto,1986-06-16,1986-07-27,g-exit,1900-07-27
920,1987,78,kanto,1987-06-09,1987-07-23,g-exit,1900-07-23
921,1988,109,kanto,1988-06-08,1988-07-31,g-exit,1900-07-31
922,1989,132,kanto,1989-06-09,1989-07-19,g-exit,1900-07-19
923,1990,51,kanto,1990-06-01,1990-07-18,g-exit,1900-07-18
924,1991,91,kanto,1991-05-31,1991-07-23,g-exit,1900-07-23
925,1992,89,kanto,1992-06-07,1992-07-19,g-exit,1900-07-19
926,1993,147,kanto,1993-05-30,,g-exit,
927,1994,55,kanto,1994-06-07,1994-07-12,g-exit,1900-07-12
928,1995,120,kanto,1995-06-03,1995-07-23,g-exit,1900-07-23
929,1996,96,kanto,1996-06-08,1996-07-11,g-exit,1900-07-11
930,1997,95,kanto,1997-06-09,1997-07-19,g-exit,1900-07-19
931,1998,103,kanto,1998-06-02,1998-08-02,g-exit,1900-08-02
932,1999,126,kanto,1999-06-17,1999-07-23,g-exit,1900-07-23
933,2000,124,kanto,2000-06-09,2000-07-16,g-exit,1900-07-16
934,2001,63,kanto,2001-06-05,2001-07-01,g-exit,1900-07-01
935,2002,112,kanto,2002-06-11,2002-07-20,g-exit,1900-07-20
936,2003,85,kanto,2003-06-10,2003-08-02,g-exit,1900-08-02
937,2004,66,kanto,2004-06-06,2004-07-13,g-exit,1900-07-13
938,2005,110,kanto,2005-06-10,2005-07-18,g-exit,1900-07-18
939,2006,120,kanto,2006-06-09,2006-07-30,g-exit,1900-07-30
940,2007,114,kanto,2007-06-22,2007-08-01,g-exit,1900-08-01
941,2008,91,kanto,2008-05-29,2008-07-19,g-exit,1900-07-19
942,2009,95,kanto,2009-06-03,2009-07-14,g-exit,1900-07-14
943,2010,101,kanto,2010-06-13,2010-07-17,g-exit,1900-07-17
944,2011,83,kanto,2011-05-27,2011-07-09,g-exit,1900-07-09
945,2012,100,kanto,2012-06-09,2012-07-25,g-exit,1900-07-25
946,2013,77,kanto,2013-06-10,2013-07-06,g-exit,1900-07-06
947,2014,116,kanto,2014-06-05,2014-07-21,g-exit,1900-07-21
948,2015,128,kanto,2015-06-03,2015-07-10,g-exit,1900-07-10
949,2016,74,kanto,2016-06-05,2016-07-29,g-exit,1900-07-29
950,2017,71,kanto,2017-06-07,2017-07-06,g-exit,1900-07-06
951,2018,92,kanto,2018-06-06,2018-06-29,g-exit,1900-06-29
952,1951,142,kinki,1951-06-07,1951-07-20,g-exit,1900-07-20
953,1952,184,kinki,1952-06-14,1952-07-15,g-exit,1900-07-15
954,1953,164,kinki,1953-05-28,1953-07-24,g-exit,1900-07-24
955,1954,191,kinki,1954-05-30,1954-07-21,g-exit,1900-07-21
956,1955,85,kinki,1955-06-15,1955-07-09,g-exit,1900-07-09
957,1956,91,kinki,1956-05-22,1956-07-12,g-exit,1900-07-12
958,1957,141,kinki,1957-06-17,1957-07-29,g-exit,1900-07-29
959,1958,80,kinki,1958-06-25,1958-07-12,g-exit,1900-07-12
960,1959,84,kinki,1959-06-05,1959-07-20,g-exit,1900-07-20
961,1960,88,kinki,1960-06-10,1960-07-11,g-exit,1900-07-11
962,1961,158,kinki,1961-06-09,1961-07-13,g-exit,1900-07-13
963,1962,153,kinki,1962-06-02,1962-07-20,g-exit,1900-07-20
964,1963,98,kinki,,1963-07-13,g-exit,1900-07-13
965,1964,87,kinki,1964-06-13,1964-07-22,g-exit,1900-07-22
966,1965,133,kinki,1965-06-12,1965-07-25,g-exit,1900-07-25
967,1966,119,kinki,1966-05-29,1966-07-13,g-exit,1900-07-13
968,1967,118,kinki,1967-06-21,1967-07-13,g-exit,1900-07-13
969,1968,114,kinki,1968-06-13,1968-07-17,g-exit,1900-07-17
970,1969,147,kinki,1969-06-17,1969-07-15,g-exit,1900-07-15
971,1970,126,kinki,1970-06-10,1970-07-18,g-exit,1900-07-18
972,1971,110,kinki,1971-06-03,1971-07-28,g-exit,1900-07-28
973,1972,157,kinki,1972-06-03,1972-07-18,g-exit,1900-07-18
974,1973,45,kinki,1973-06-05,1973-07-04,g-exit,1900-07-04
975,1974,131,kinki,1974-06-11,1974-07-20,g-exit,1900-07-20
976,1975,96,kinki,1975-06-05,1975-07-15,g-exit,1900-07-15
977,1976,87,kinki,1976-06-05,1976-07-20,g-exit,1900-07-20
978,1977,74,kinki,1977-06-07,1977-07-20,g-exit,1900-07-20
979,1978,79,kinki,1978-06-11,1978-07-03,g-exit,1900-07-03
980,1979,93,kinki,1979-06-07,1979-07-22,g-exit,1900-07-22
981,1980,121,kinki,1980-05-29,1980-07-20,g-exit,1900-07-20
982,1981,72,kinki,1981-06-11,1981-07-16,g-exit,1900-07-16
983,1982,92,kinki,1982-06-13,1982-07-27,g-exit,1900-07-27
984,1983,104,kinki,1983-06-12,1983-07-25,g-exit,1900-07-25
985,1984,122,kinki,1984-06-08,1984-07-17,g-exit,1900-07-17
986,1985,126,kinki,1985-06-07,1985-07-15,g-exit,1900-07-15
987,1986,108,kinki,1986-06-16,1986-07-27,g-exit,1900-07-27
988,1987,90,kinki,1987-06-08,1987-07-24,g-exit,1900-07-24
989,1988,152,kinki,1988-06-08,1988-07-31,g-exit,1900-07-31
990,1989,90,kinki,1989-06-08,1989-07-19,g-exit,1900-07-19
991,1990,80,kinki,1990-05-31,1990-07-18,g-exit,1900-07-18
992,1991,111,kinki,1991-05-26,1991-07-21,g-exit,1900-07-21
993,1992,75,kinki,1992-06-07,1992-07-21,g-exit,1900-07-21
994,1993,155,kinki,1993-05-30,,g-exit,
995,1994,41,kinki,1994-06-08,1994-07-10,g-exit,1900-07-10
996,1995,123,kinki,1995-06-03,1995-07-23,g-exit,1900-07-23
997,1996,92,kinki,1996-06-07,1996-07-11,g-exit,1900-07-11
998,1997,125,kinki,1997-06-02,1997-07-18,g-exit,1900-07-18
999,1998,108,kinki,1998-06-02,1998-07-31,g-exit,1900-07-31
1000,1999,128,kinki,1999-06-03,1999-07-22,g-exit,1900-07-22
1001,2000,61,kinki,2000-06-09,2000-07-18,g-exit,1900-07-18
1002,2001,74,kinki,2001-06-05,2001-07-19,g-exit,1900-07-19
1003,2002,71,kinki,2002-06-11,2002-07-20,g-exit,1900-07-20
1004,2003,106,kinki,2003-06-10,2003-08-01,g-exit,1900-08-01
1005,2004,61,kinki,2004-06-06,2004-07-13,g-exit,1900-07-13
1006,2005,76,kinki,2005-06-11,2005-07-18,g-exit,1900-07-18
1007,2006,142,kinki,2006-06-08,2006-07-27,g-exit,1900-07-27
1008,2007,111,kinki,2007-06-14,2007-07-24,g-exit,1900-07-24
1009,2008,71,kinki,2008-05-28,2008-07-12,g-exit,1900-07-12
1010,2009,95,kinki,2009-06-03,2009-08-03,g-exit,1900-08-03
1011,2010,137,kinki,2010-06-13,2010-07-17,g-exit,1900-07-17
1012,2011,95,kinki,2011-05-22,2011-07-08,g-exit,1900-07-08
1013,2012,126,kinki,2012-06-08,2012-07-16,g-exit,1900-07-16
1014,2013,81,kinki,2013-05-27,2013-07-08,g-exit,1900-07-08
1015,2014,49,kinki,2014-06-03,2014-07-20,g-exit,1900-07-20
1016,2015,144,kinki,2015-06-03,2015-07-24,g-exit,1900-07-24
1017,2016,103,kinki,2016-06-04,2016-07-18,g-exit,1900-07-18
1018,2017,81,kinki,2017-06-20,2017-07-13,g-exit,1900-07-13
1019,2018,162,kinki,2018-06-05,2018-07-09,g-exit,1900-07-09
1020,1951,114,kyusyu-n,1951-06-14,1951-07-19,g-exit,1900-07-19
1021,1952,91,kyusyu-n,1952-06-08,1952-07-15,g-exit,1900-07-15
1022,1953,185,kyusyu-n,1953-05-28,1953-07-20,g-exit,1900-07-20
1023,1954,173,kyusyu-n,1954-05-13,1954-08-01,g-exit,1900-08-01
1024,1955,96,kyusyu-n,1955-06-03,1955-07-10,g-exit,1900-07-10
1025,1956,88,kyusyu-n,1956-05-21,1956-07-22,g-exit,1900-07-22
1026,1957,154,kyusyu-n,1957-06-05,1957-07-29,g-exit,1900-07-29
1027,1958,32,kyusyu-n,1958-06-06,1958-07-11,g-exit,1900-07-11
1028,1959,92,kyusyu-n,1959-06-04,1959-07-21,g-exit,1900-07-21
1029,1960,57,kyusyu-n,1960-05-24,1960-07-11,g-exit,1900-07-11
1030,1961,50,kyusyu-n,1961-06-08,1961-07-10,g-exit,1900-07-10
1031,1962,136,kyusyu-n,1962-06-08,1962-07-22,g-exit,1900-07-22
1032,1963,99,kyusyu-n,1963-05-30,1963-07-13,g-exit,1900-07-13
1033,1964,66,kyusyu-n,1964-06-10,1964-07-20,g-exit,1900-07-20
1034,1965,116,kyusyu-n,1965-06-11,1965-07-24,g-exit,1900-07-24
1035,1966,65,kyusyu-n,1966-06-14,1966-07-14,g-exit,1900-07-14
1036,1967,69,kyusyu-n,1967-06-22,1967-07-16,g-exit,1900-07-16
1037,1968,92,kyusyu-n,1968-06-12,1968-07-17,g-exit,1900-07-17
1038,1969,117,kyusyu-n,1969-06-17,1969-07-15,g-exit,1900-07-15
1039,1970,89,kyusyu-n,1970-06-10,1970-07-21,g-exit,1900-07-21
1040,1971,99,kyusyu-n,1971-06-02,1971-07-27,g-exit,1900-07-27
1041,1972,160,kyusyu-n,1972-06-03,1972-07-15,g-exit,1900-07-15
1042,1973,65,kyusyu-n,1973-06-05,1973-07-06,g-exit,1900-07-06
1043,1974,87,kyusyu-n,1974-06-10,1974-07-19,g-exit,1900-07-19
1044,1975,91,kyusyu-n,1975-06-04,1975-07-18,g-exit,1900-07-18
1045,1976,79,kyusyu-n,1976-06-04,1976-07-22,g-exit,1900-07-22
1046,1977,75,kyusyu-n,1977-06-07,1977-07-20,g-exit,1900-07-20
1047,1978,65,kyusyu-n,1978-06-10,1978-07-03,g-exit,1900-07-03
1048,1979,123,kyusyu-n,1979-06-06,1979-07-25,g-exit,1900-07-25
1049,1980,142,kyusyu-n,1980-06-08,1980-07-19,g-exit,1900-07-19
1050,1981,91,kyusyu-n,1981-06-10,1981-07-14,g-exit,1900-07-14
1051,1982,121,kyusyu-n,1982-06-13,1982-07-27,g-exit,1900-07-27
1052,1983,92,kyusyu-n,1983-06-12,1983-07-23,g-exit,1900-07-23
1053,1984,73,kyusyu-n,1984-06-07,1984-07-14,g-exit,1900-07-14
1054,1985,144,kyusyu-n,1985-06-07,1985-07-15,g-exit,1900-07-15
1055,1986,119,kyusyu-n,1986-06-13,1986-07-26,g-exit,1900-07-26
1056,1987,125,kyusyu-n,1987-06-08,1987-07-26,g-exit,1900-07-26
1057,1988,92,kyusyu-n,1988-06-07,1988-07-06,g-exit,1900-07-06
1058,1989,73,kyusyu-n,1989-06-05,1989-07-19,g-exit,1900-07-19
1059,1990,94,kyusyu-n,1990-05-30,1990-07-18,g-exit,1900-07-18
1060,1991,135,kyusyu-n,1991-05-19,1991-07-19,g-exit,1900-07-19
1061,1992,56,kyusyu-n,1992-06-05,1992-07-20,g-exit,1900-07-20
1062,1993,158,kyusyu-n,1993-05-29,,g-exit,
1063,1994,44,kyusyu-n,1994-06-07,1994-07-01,g-exit,1900-07-01
1064,1995,108,kyusyu-n,1995-06-08,1995-07-08,g-exit,1900-07-08
1065,1996,95,kyusyu-n,1996-06-07,1996-07-13,g-exit,1900-07-13
1066,1997,128,kyusyu-n,1997-06-08,1997-07-19,g-exit,1900-07-19
1067,1998,103,kyusyu-n,1998-06-01,1998-08-03,g-exit,1900-08-03
1068,1999,126,kyusyu-n,1999-06-02,1999-07-22,g-exit,1900-07-22
1069,2000,73,kyusyu-n,2000-05-26,2000-07-17,g-exit,1900-07-17
1070,2001,110,kyusyu-n,2001-05-21,2001-07-19,g-exit,1900-07-19
1071,2002,57,kyusyu-n,2002-06-10,2002-07-21,g-exit,1900-07-21
1072,2003,120,kyusyu-n,2003-06-09,2003-07-31,g-exit,1900-07-31
1073,2004,47,kyusyu-n,2004-05-29,2004-07-11,g-exit,1900-07-11
1074,2005,70,kyusyu-n,2005-06-10,2005-07-17,g-exit,1900-07-17
1075,2006,141,kyusyu-n,2006-06-08,2006-07-26,g-exit,1900-07-26
1076,2007,87,kyusyu-n,2007-06-13,2007-07-23,g-exit,1900-07-23
1077,2008,84,kyusyu-n,2008-05-28,2008-07-06,g-exit,1900-07-06
1078,2009,121,kyusyu-n,2009-06-03,2009-08-04,g-exit,1900-08-04
1079,2010,111,kyusyu-n,2010-06-12,2010-07-17,g-exit,1900-07-17
1080,2011,119,kyusyu-n,2011-05-21,2011-07-08,g-exit,1900-07-08
1081,2012,138,kyusyu-n,2012-05-30,2012-07-23,g-exit,1900-07-23
1082,2013,72,kyusyu-n,2013-05-27,2013-07-08,g-exit,1900-07-08
1083,2014,87,kyusyu-n,2014-06-02,2014-07-20,g-exit,1900-07-20
1084,2015,102,kyusyu-n,2015-06-02,2015-07-29,g-exit,1900-07-29
1085,2016,117,kyusyu-n,2016-06-04,2016-07-18,g-exit,1900-07-18
