,year,p-amount,area,enter,exit,variable,date
133,2016,91,hokuriku,2016-06-13,2016-07-19,g-enter,1900-06-13
134,2017,133,hokuriku,2017-06-25,2017-08-02,g-enter,1900-06-25
135,2018,70,hokuriku,2018-06-09,2018-07-09,g-enter,1900-06-09
136,1951,121,kanto,1951-06-15,1951-07-18,g-enter,1900-06-15
137,1952,151,kanto,1952-06-14,1952-07-16,g-enter,1900-06-14
138,1953,149,kanto,1953-06-01,1953-07-24,g-enter,1900-06-01
139,1954,135,kanto,1954-06-06,1954-07-25,g-enter,1900-06-06
140,1955,60,kanto,1955-06-13,1955-07-09,g-enter,1900-06-13
141,1956,81,kanto,1956-06-09,1956-07-26,g-enter,1900-06-09
142,1957,131,kanto,1957-06-06,1957-07-28,g-enter,1900-06-06
143,1958,99,kanto,1958-06-11,1958-07-13,g-enter,1900-06-11
144,1959,89,kanto,1959-06-10,1959-07-06,g-enter,1900-06-10
145,1960,53,kanto,1960-06-19,1960-07-18,g-enter,1900-06-19
146,1961,127,kanto,1961-06-09,1961-07-08,g-enter,1900-06-09
147,1962,116,kanto,1962-06-03,1962-07-12,g-enter,1900-06-03
148,1963,114,kanto,1963-05-06,1963-07-24,g-enter,1900-05-06
149,1964,81,kanto,1964-06-09,1964-07-22,g-enter,1900-06-09
150,1965,106,kanto,1965-06-12,1965-07-27,g-enter,1900-06-12
151,1966,145,kanto,1966-06-09,1966-07-19,g-enter,1900-06-09
152,1967,88,kanto,1967-06-22,1967-07-18,g-enter,1900-06-22
153,1968,107,kanto,1968-06-15,1968-07-19,g-enter,1900-06-15
154,1969,115,kanto,1969-06-17,1969-07-14,g-enter,1900-06-17
155,1970,113,kanto,1970-06-11,1970-07-20,g-enter,1900-06-11
156,1971,74,kanto,1971-06-03,1971-07-29,g-enter,1900-06-03
157,1972,118,kanto,1972-06-12,1972-07-19,g-enter,1900-06-12
158,1973,67,kanto,1973-06-06,1973-07-05,g-enter,1900-06-06
159,1974,139,kanto,1974-06-11,1974-07-25,g-enter,1900-06-11
160,1975,109,kanto,1975-06-05,1975-07-15,g-enter,1900-06-05
161,1976,110,kanto,1976-06-05,1976-07-22,g-enter,1900-06-05
162,1977,97,kanto,1977-06-07,1977-07-21,g-enter,1900-06-07
163,1978,77,kanto,1978-06-11,1978-07-04,g-enter,1900-06-11
164,1979,74,kanto,1979-06-07,1979-07-24,g-enter,1900-06-07
165,1980,96,kanto,1980-06-08,1980-07-21,g-enter,1900-06-08
166,1981,91,kanto,1981-06-11,1981-07-08,g-enter,1900-06-11
167,1982,102,kanto,1982-06-17,1982-08-04,g-enter,1900-06-17
168,1983,105,kanto,1983-06-12,1983-07-26,g-enter,1900-06-12
169,1984,98,kanto,1984-06-10,1984-07-22,g-enter,1900-06-10
170,1985,161,kanto,1985-06-08,1985-07-15,g-enter,1900-06-08
171,1986,70,kanto,1986-06-16,1986-07-27,g-enter,1900-06-16
172,1987,78,kanto,1987-06-09,1987-07-23,g-enter,1900-06-09
173,1988,109,kanto,1988-06-08,1988-07-31,g-enter,1900-06-08
174,1989,132,kanto,1989-06-09,1989-07-19,g-enter,1900-06-09
175,1990,51,kanto,1990-06-01,1990-07-18,g-enter,1900-06-01
176,1991,91,kanto,1991-05-31,1991-07-23,g-enter,1900-05-31
177,1992,89,kanto,1992-06-07,1992-07-19,g-enter,1900-06-07
178,1993,147,kanto,1993-05-30,,g-enter,1900-05-30
179,1994,55,kanto,1994-06-07,1994-07-12,g-enter,1900-06-07
180,1995,120,kanto,1995-06-03,1995-07-23,g-enter,1900-06-03
181,1996,96,kanto,1996-06-08,1996-07-11,g-enter,1900-06-08
182,1997,95,kanto,1997-06-09,1997-07-19,g-enter,1900-06-09
183,1998,103,kanto,1998-06-02,1998-08-02,g-enter,1900-06-02
184,1999,126,kanto,1999-06-17,1999-07-23,g-enter,1900-06-17
185,2000,124,kanto,2000-06-09,2000-07-16,g-enter,1900-06-09
186,2001,63,kanto,2001-06-05,2001-07-01,g-enter,1900-06-05
187,2002,112,kanto,2002-06-11,2002-07-20,g-enter,1900-06-11
188,2003,85,kanto,2003-06-10,2003-08-02,g-enter,1900-06-10
189,2004,66,kanto,2004-06-06,2004-07-13,g-enter,1900-06-06
190,2005,110,kanto,2005-06-10,2005-07-18,g-enter,1900-06-10
191,2006,120,kanto,2006-06-09,2006-07-30,g-enter,1900-06-09
192,2007,114,kanto,2007-06-22,2007-08-01,g-enter,1900-06-22
193,2008,91,kanto,2008-05-29,2008-07-19,g-enter,1900-05-29
194,2009,95,kanto,2009-06-03,2009-07-14,g-enter,1900-06-03
195,2010,101,kanto,2010-06-13,2010-07-17,g-enter,1900-06-13
196,2011,83,kanto,2011-05-27,2011-07-09,g-enter,1900-05-27
